Crop,Pest,Pesticide,Application Method,Dosage
Barley,Sugarcane Borer,Lambda-cyhalothrin,Soil Drench,3.0 g/L
Barley,Stem Borer,Chlorpyrifos,Spray,1.5 g/L
Barley,Whitefly,Azadirachtin (Neem Oil),Soil Application,2.0 ml/L
Barley,Barley Yellow Dwarf Virus,Thiamethoxam,Soil Drench,3.0 g/L
Barley,Sugarcane Borer,Pyrethrin,Spray,1.5 ml/L
Barley,Whitefly,Azadirachtin (Neem Oil),Soil Application,2.0 ml/L
Barley,Bollworm,Cartap Hydrochloride,Spray,1.0 ml/L
Barley,Soybean Looper,Thiamethoxam,Soil Application,1.5 g/L
Barley,Aphids,Chlorpyrifos,Soil Drench,1.5 g/L
Barley,Peanut Bud Necrosis Virus,Thiamethoxam,Spray,0.3 ml/L
Barley,Stem Borer,Imidacloprid,Spray,1.0 ml/L
Barley,Soybean Looper,Imidacloprid,Spray,3.0 g/L
Barley,Peanut Bud Necrosis Virus,Spinosad,Soil Drench,0.3 ml/L
Barley,Whitefly,Azadirachtin (Neem Oil),Soil Application,2.0 ml/L
Barley,Aphids,Bacillus thuringiensis,Spray,0.8 ml/L
Barley,Armyworm,Azadirachtin (Neem Oil),Soil Application,2.5 ml/L
Barley,Soybean Looper,Imidacloprid,Spray,3.0 g/L
Barley,Stem Borer,Bacillus thuringiensis,Spray,1.5 ml/L
Barley,Peanut Bud Necrosis Virus,Spinosad,Soil Drench,2.0 ml/L
Barley,Aphids,Chlorpyrifos,Soil Drench,1.5 g/L
Barley,Bollworm,Chlorpyrifos,Soil Drench,2.5 ml/L
Barley,Peanut Bud Necrosis Virus,Pyrethrin,Soil Drench,1.0 ml/L
Barley,Potato Beetle,Chlorpyrifos,Soil Application,3.0 g/L
Barley,Soybean Looper,Cartap Hydrochloride,Spray,2.5 ml/L
Barley,Bollworm,Imidacloprid,Spray,1.0 ml/L
Barley,Bollworm,Bacillus thuringiensis,Soil Application,2.5 ml/L
Barley,Potato Beetle,Imidacloprid,Soil Application,1.5 g/L
Barley,Armyworm,Lambda-cyhalothrin,Soil Application,0.3 ml/L
Barley,Stem Borer,Chlorpyrifos,Spray,1.5 g/L
Barley,Whitefly,Thiamethoxam,Spray,1.5 g/L
Barley,Potato Beetle,Chlorpyrifos,Soil Application,3.0 g/L
Barley,Stem Borer,Imidacloprid,Soil Application,2.5 ml/L
Barley,Armyworm,Thiamethoxam,Soil Application,2.5 ml/L
Barley,Stem Borer,Thiamethoxam,Soil Drench,2.0 ml/L
Barley,Soybean Looper,Cartap Hydrochloride,Spray,2.5 ml/L
Barley,Bollworm,Imidacloprid,Spray,1.0 ml/L
Cotton,Aphids,Lambda-cyhalothrin,Soil Drench,1.5 g/L
Cotton,Stem Borer,Cartap Hydrochloride,Spray,0.8 ml/L
Cotton,Armyworm,Fipronil,Spray,0.8 ml/L
Cotton,Stem Borer,Thiamethoxam,Spray,1.5 ml/L
Cotton,Potato Beetle,Cartap Hydrochloride,Soil Application,1.5 ml/L
Cotton,Potato Beetle,Thiamethoxam,Soil Drench,0.8 ml/L
Cotton,Potato Beetle,Cartap Hydrochloride,Soil Drench,2.0 ml/L
Cotton,Peanut Bud Necrosis Virus,Lambda-cyhalothrin,Soil Drench,1.0 ml/L
Cotton,Sugarcane Borer,Spinosad,Soil Drench,1.5 g/L
Cotton,Peanut Bud Necrosis Virus,Chlorpyrifos,Soil Application,1.5 ml/L
Cotton,Sugarcane Borer,Chlorpyrifos,Soil Drench,0.8 ml/L
Cotton,Armyworm,Azadirachtin (Neem Oil),Soil Application,2.0 ml/L
Cotton,Armyworm,Thiamethoxam,Spray,2.5 ml/L
Cotton,Aphids,Spinosad,Soil Drench,2.0 ml/L
Cotton,Peanut Bud Necrosis Virus,Pyrethrin,Soil Application,1.5 ml/L
Cotton,Stem Borer,Imidacloprid,Soil Drench,1.0 g/L
Cotton,Aphids,Spinosad,Soil Drench,2.0 ml/L
Cotton,Bollworm,Pyrethrin,Soil Drench,1.0 ml/L
Cotton,Stem Borer,Spinosad,Soil Application,2.5 ml/L
Cotton,Whitefly,Bacillus thuringiensis,Soil Drench,0.3 ml/L
Cotton,Stem Borer,Chlorpyrifos,Soil Application,1.5 g/L
Cotton,Barley Yellow Dwarf Virus,Cartap Hydrochloride,Spray,2.0 ml/L
Cotton,Armyworm,Spinosad,Soil Drench,2.0 ml/L
Cotton,Peanut Bud Necrosis Virus,Spinosad,Soil Application,0.8 ml/L
Cotton,Whitefly,Azadirachtin (Neem Oil),Spray,1.5 ml/L
Cotton,Soybean Looper,Chlorpyrifos,Soil Application,2.5 ml/L
Cotton,Peanut Bud Necrosis Virus,Imidacloprid,Soil Drench,0.3 ml/L
Cotton,Stem Borer,Fipronil,Soil Drench,2.0 ml/L
Cotton,Stem Borer,Chlorpyrifos,Soil Application,1.5 g/L
Cotton,Stem Borer,Thiamethoxam,Spray,1.5 ml/L
Cotton,Peanut Bud Necrosis Virus,Imidacloprid,Soil Drench,2.5 ml/L
Cotton,Stem Borer,Cartap Hydrochloride,Spray,0.8 ml/L
Cotton,Potato Beetle,Lambda-cyhalothrin,Soil Application,2.0 ml/L
Cotton,Stem Borer,Spinosad,Spray,2.0 ml/L
Cotton,Sugarcane Borer,Pyrethrin,Soil Application,0.3 ml/L
Cotton,Aphids,Lambda-cyhalothrin,Soil Drench,2.0 ml/L
Cotton,Whitefly,Chlorpyrifos,Soil Application,1.0 g/L
Cotton,Potato Beetle,Bacillus thuringiensis,Spray,1.0 ml/L
Cotton,Soybean Looper,Bacillus thuringiensis,Soil Application,1.0 ml/L
Cotton,Peanut Bud Necrosis Virus,Spinosad,Soil Drench,0.8 ml/L
Cotton,Bollworm,Fipronil,Spray,2.5 ml/L
Cotton,Bollworm,Azadirachtin (Neem Oil),Soil Application,0.3 ml/L
Cotton,Sugarcane Borer,Thiamethoxam,Spray,3.0 g/L
Cotton,Sugarcane Borer,Thiamethoxam,Spray,3.0 g/L
Cotton,Soybean Looper,Bacillus thuringiensis,Soil Drench,1.0 ml/L
Cotton,Sugarcane Borer,Thiamethoxam,Spray,3.0 g/L
Cotton,Bollworm,Fipronil,Soil Drench,1.0 g/L
Cotton,Sugarcane Borer,Fipronil,Soil Application,1.5 ml/L
Cotton,Stem Borer,Thiamethoxam,Spray,1.5 ml/L
Cotton,Sugarcane Borer,Spinosad,Soil Drench,1.5 g/L
Cotton,Soybean Looper,Bacillus thuringiensis,Soil Application,1.0 ml/L
Cotton,Armyworm,Pyrethrin,Soil Drench,0.3 ml/L
Cotton,Whitefly,Imidacloprid,Spray,1.5 g/L
Cotton,Bollworm,Chlorpyrifos,Spray,1.5 ml/L
Cotton,Stem Borer,Chlorpyrifos,Soil Application,1.5 g/L
Cotton,Bollworm,Fipronil,Soil Drench,1.0 g/L
Cotton,Whitefly,Imidacloprid,Soil Application,0.8 ml/L
Cotton,Soybean Looper,Fipronil,Spray,2.0 ml/L
Cotton,Bollworm,Azadirachtin (Neem Oil),Spray,1.0 ml/L
Cotton,Soybean Looper,Chlorpyrifos,Soil Application,2.5 ml/L
Cotton,Sugarcane Borer,Chlorpyrifos,Soil Drench,0.8 ml/L
Cotton,Peanut Bud Necrosis Virus,Pyrethrin,Soil Application,1.5 ml/L
Cotton,Sugarcane Borer,Fipronil,Soil Application,1.5 ml/L
Cotton,Sugarcane Borer,Lambda-cyhalothrin,Soil Drench,3.0 g/L
Cotton,Sugarcane Borer,Chlorpyrifos,Soil Drench,0.8 ml/L
Cotton,Peanut Bud Necrosis Virus,Lambda-cyhalothrin,Soil Drench,1.0 ml/L
Cotton,Barley Yellow Dwarf Virus,Spinosad,Soil Application,3.0 g/L
Cotton,Barley Yellow Dwarf Virus,Spinosad,Soil Application,3.0 g/L
Cotton,Whitefly,Chlorpyrifos,Soil Application,1.0 g/L
Cotton,Peanut Bud Necrosis Virus,Spinosad,Soil Drench,1.5 g/L
Cotton,Sugarcane Borer,Chlorpyrifos,Soil Drench,0.8 ml/L
Cotton,Peanut Bud Necrosis Virus,Pyrethrin,Soil Application,1.5 ml/L
Cotton,Peanut Bud Necrosis Virus,Spinosad,Soil Application,0.8 ml/L
Cotton,Barley Yellow Dwarf Virus,Cartap Hydrochloride,Spray,2.0 ml/L
Cotton,Soybean Looper,Cartap Hydrochloride,Spray,0.8 ml/L
Cotton,Potato Beetle,Cartap Hydrochloride,Soil Application,1.5 ml/L
Cotton,Bollworm,Imidacloprid,Spray,1.0 g/L
Cotton,Aphids,Bacillus thuringiensis,Soil Application,2.0 ml/L
Cotton,Armyworm,Lambda-cyhalothrin,Soil Drench,1.5 ml/L
Cotton,Whitefly,Bacillus thuringiensis,Soil Application,2.0 ml/L
Cotton,Bollworm,Cartap Hydrochloride,Soil Application,0.8 ml/L
Cotton,Whitefly,Chlorpyrifos,Soil Application,1.5 g/L
Cotton,Stem Borer,Spinosad,Soil Drench,1.5 g/L
Cotton,Barley Yellow Dwarf Virus,Lambda-cyhalothrin,Soil Drench,1.0 g/L
Cotton,Barley Yellow Dwarf Virus,Spinosad,Soil Application,3.0 g/L
Cotton,Peanut Bud Necrosis Virus,Chlorpyrifos,Soil Application,1.5 ml/L
Cotton,Peanut Bud Necrosis Virus,Imidacloprid,Soil Drench,0.3 ml/L
Cotton,Armyworm,Lambda-cyhalothrin,Soil Drench,1.5 ml/L
Cotton,Soybean Looper,Chlorpyrifos,Soil Application,2.5 ml/L
Cotton,Stem Borer,Azadirachtin (Neem Oil),Spray,2.0 ml/L
Cotton,Bollworm,Fipronil,Soil Drench,1.0 g/L
Cotton,Sugarcane Borer,Pyrethrin,Soil Application,0.3 ml/L
Cotton,Bollworm,Lambda-cyhalothrin,Soil Application,1.5 g/L
Cotton,Whitefly,Bacillus thuringiensis,Soil Drench,0.3 ml/L
Cotton,Stem Borer,Chlorpyrifos,Soil Drench,0.3 ml/L
Cotton,Soybean Looper,Chlorpyrifos,Soil Application,2.5 ml/L
Cotton,Armyworm,Lambda-cyhalothrin,Soil Drench,1.5 ml/L
Cotton,Potato Beetle,Pyrethrin,Soil Application,1.0 ml/L
Cotton,Aphids,Lambda-cyhalothrin,Soil Drench,2.0 ml/L
Cotton,Whitefly,Imidacloprid,Spray,1.5 g/L
Cotton,Peanut Bud Necrosis Virus,Imidacloprid,Soil Drench,2.5 ml/L
Cotton,Bollworm,Fipronil,Spray,2.5 ml/L
Cotton,Whitefly,Chlorpyrifos,Spray,2.0 ml/L
Cotton,Stem Borer,Imidacloprid,Soil Drench,1.0 g/L
Cotton,Sugarcane Borer,Imidacloprid,Soil Application,0.8 ml/L
Cotton,Stem Borer,Spinosad,Soil Drench,2.0 ml/L
Cotton,Sugarcane Borer,Imidacloprid,Soil Application,0.8 ml/L
Cotton,Potato Beetle,Cartap Hydrochloride,Soil Drench,1.0 g/L
Cotton,Potato Beetle,Pyrethrin,Soil Application,1.0 ml/L
Cotton,Peanut Bud Necrosis Virus,Azadirachtin (Neem Oil),Soil Drench,2.0 ml/L
Cotton,Soybean Looper,Fipronil,Spray,2.0 ml/L
Cotton,Bollworm,Pyrethrin,Soil Drench,1.0 ml/L
Cotton,Barley Yellow Dwarf Virus,Cartap Hydrochloride,Spray,2.5 ml/L
Cotton,Barley Yellow Dwarf Virus,Pyrethrin,Soil Drench,1.5 g/L
Cotton,Stem Borer,Fipronil,Soil Drench,2.0 ml/L
Cotton,Bollworm,Azadirachtin (Neem Oil),Soil Application,0.3 ml/L
Cotton,Sugarcane Borer,Thiamethoxam,Spray,3.0 g/L
Cotton,Peanut Bud Necrosis Virus,Thiamethoxam,Soil Drench,1.0 g/L
Cotton,Bollworm,Imidacloprid,Spray,1.0 g/L
Cotton,Potato Beetle,Bacillus thuringiensis,Spray,1.0 ml/L
Cotton,Aphids,Lambda-cyhalothrin,Soil Drench,2.0 ml/L
Cotton,Stem Borer,Azadirachtin (Neem Oil),Soil Drench,0.3 ml/L
Cotton,Armyworm,Lambda-cyhalothrin,Soil Drench,1.5 ml/L
Cotton,Bollworm,Bacillus thuringiensis,Soil Application,2.5 ml/L
Cotton,Soybean Looper,Chlorpyrifos,Soil Application,2.5 ml/L
Cotton,Stem Borer,Imidacloprid,Soil Drench,1.0 g/L
Cotton,Bollworm,Fipronil,Spray,2.5 ml/L
Cotton,Armyworm,Spinosad,Soil Drench,2.0 ml/L
Cotton,Potato Beetle,Cartap Hydrochloride,Soil Drench,1.0 g/L
Cotton,Soybean Looper,Thiamethoxam,Soil Application,2.0 ml/L
Cotton,Potato Beetle,Bacillus thuringiensis,Spray,1.0 ml/L
Maize,Aphids,Spinosad,Soil Application,2.5 ml/L
Maize,Armyworm,Azadirachtin (Neem Oil),Soil Drench,1.0 g/L
Maize,Whitefly,Spinosad,Spray,2.0 ml/L
Maize,Stem Borer,Lambda-cyhalothrin,Soil Drench,2.0 ml/L
Maize,Sugarcane Borer,Cartap Hydrochloride,Soil Application,3.0 g/L
Maize,Barley Yellow Dwarf Virus,Spinosad,Spray,0.3 ml/L
Maize,Bollworm,Cartap Hydrochloride,Spray,2.5 ml/L
Maize,Potato Beetle,Thiamethoxam,Spray,1.0 ml/L
Maize,Barley Yellow Dwarf Virus,Fipronil,Spray,2.0 ml/L
Maize,Barley Yellow Dwarf Virus,Spinosad,Spray,0.3 ml/L
Maize,Aphids,Cartap Hydrochloride,Spray,0.3 ml/L
Maize,Potato Beetle,Thiamethoxam,Spray,1.5 ml/L
Maize,Stem Borer,Chlorpyrifos,Spray,3.0 g/L
Maize,Armyworm,Azadirachtin (Neem Oil),Soil Drench,2.0 ml/L
Maize,Stem Borer,Lambda-cyhalothrin,Soil Drench,2.0 ml/L
Maize,Soybean Looper,Thiamethoxam,Soil Application,1.0 g/L
Maize,Soybean Looper,Thiamethoxam,Spray,0.3 ml/L
Maize,Barley Yellow Dwarf Virus,Pyrethrin,Spray,3.0 g/L
Maize,Stem Borer,Chlorpyrifos,Spray,3.0 g/L
Maize,Peanut Bud Necrosis Virus,Cartap Hydrochloride,Spray,1.0 g/L
Maize,Whitefly,Fipronil,Soil Drench,1.5 ml/L
Maize,Whitefly,Chlorpyrifos,Soil Application,1.5 ml/L
Maize,Barley Yellow Dwarf Virus,Spinosad,Spray,0.3 ml/L
Maize,Potato Beetle,Chlorpyrifos,Soil Drench,0.8 ml/L
Maize,Potato Beetle,Lambda-cyhalothrin,Spray,2.5 ml/L
Maize,Barley Yellow Dwarf Virus,Lambda-cyhalothrin,Spray,2.0 ml/L
Maize,Armyworm,Thiamethoxam,Soil Drench,1.0 g/L
Maize,Aphids,Bacillus thuringiensis,Spray,2.5 ml/L
Maize,Armyworm,Spinosad,Spray,0.8 ml/L
Maize,Stem Borer,Lambda-cyhalothrin,Soil Drench,2.0 ml/L
Maize,Aphids,Spinosad,Soil Application,2.5 ml/L
Maize,Bollworm,Bacillus thuringiensis,Soil Application,0.3 ml/L
Maize,Sugarcane Borer,Cartap Hydrochloride,Soil Application,3.0 g/L
Maize,Aphids,Chlorpyrifos,Soil Drench,0.8 ml/L
Maize,Soybean Looper,Thiamethoxam,Spray,0.3 ml/L
Maize,Soybean Looper,Fipronil,Soil Application,1.5 ml/L
Maize,Potato Beetle,Thiamethoxam,Spray,1.0 ml/L
Maize,Potato Beetle,Thiamethoxam,Soil Drench,2.0 ml/L
Maize,Sugarcane Borer,Fipronil,Soil Application,0.3 ml/L
Maize,Barley Yellow Dwarf Virus,Spinosad,Spray,1.0 ml/L
Maize,Peanut Bud Necrosis Virus,Lambda-cyhalothrin,Soil Application,2.0 ml/L
Maize,Whitefly,Chlorpyrifos,Soil Drench,2.0 ml/L
Maize,Armyworm,Azadirachtin (Neem Oil),Soil Drench,1.0 g/L
Maize,Aphids,Cartap Hydrochloride,Spray,0.3 ml/L
Maize,Peanut Bud Necrosis Virus,Cartap Hydrochloride,Spray,1.0 g/L
Maize,Potato Beetle,Fipronil,Soil Application,1.0 g/L
Maize,Aphids,Bacillus thuringiensis,Spray,2.5 ml/L
Maize,Aphids,Chlorpyrifos,Spray,2.0 ml/L
Maize,Armyworm,Spinosad,Spray,0.8 ml/L
Maize,Stem Borer,Azadirachtin (Neem Oil),Soil Application,0.8 ml/L
Maize,Barley Yellow Dwarf Virus,Imidacloprid,Soil Application,0.3 ml/L
Maize,Whitefly,Bacillus thuringiensis,Spray,2.5 ml/L
Maize,Barley Yellow Dwarf Virus,Fipronil,Spray,2.0 ml/L
Maize,Stem Borer,Lambda-cyhalothrin,Soil Drench,2.0 ml/L
Maize,Stem Borer,Imidacloprid,Soil Application,1.5 g/L
Maize,Sugarcane Borer,Spinosad,Soil Drench,1.0 ml/L
Maize,Armyworm,Azadirachtin (Neem Oil),Soil Drench,1.0 ml/L
Maize,Stem Borer,Azadirachtin (Neem Oil),Soil Application,0.8 ml/L
Maize,Sugarcane Borer,Fipronil,Soil Application,0.3 ml/L
Maize,Stem Borer,Pyrethrin,Spray,0.8 ml/L
Maize,Aphids,Chlorpyrifos,Soil Drench,0.8 ml/L
Maize,Stem Borer,Cartap Hydrochloride,Soil Drench,2.5 ml/L
Maize,Whitefly,Cartap Hydrochloride,Soil Drench,2.0 ml/L
Maize,Armyworm,Imidacloprid,Spray,2.0 ml/L
Maize,Peanut Bud Necrosis Virus,Thiamethoxam,Spray,1.5 g/L
Maize,Whitefly,Imidacloprid,Soil Drench,1.5 ml/L
Maize,Stem Borer,Chlorpyrifos,Spray,3.0 g/L
Maize,Armyworm,Azadirachtin (Neem Oil),Soil Drench,1.0 g/L
Maize,Whitefly,Spinosad,Spray,2.0 ml/L
Maize,Aphids,Cartap Hydrochloride,Soil Application,0.8 ml/L
Maize,Potato Beetle,Chlorpyrifos,Soil Drench,0.8 ml/L
Maize,Armyworm,Thiamethoxam,Soil Drench,1.0 ml/L
Maize,Potato Beetle,Pyrethrin,Soil Drench,1.5 ml/L
Maize,Whitefly,Pyrethrin,Soil Drench,2.0 ml/L
Maize,Bollworm,Pyrethrin,Soil Drench,2.0 ml/L
Maize,Barley Yellow Dwarf Virus,Imidacloprid,Soil Application,0.3 ml/L
Maize,Armyworm,Azadirachtin (Neem Oil),Soil Drench,2.0 ml/L
Maize,Potato Beetle,Fipronil,Soil Application,1.0 g/L
Maize,Potato Beetle,Pyrethrin,Soil Drench,1.5 ml/L
Maize,Armyworm,Azadirachtin (Neem Oil),Soil Application,1.0 ml/L
Maize,Armyworm,Thiamethoxam,Spray,2.5 ml/L
Maize,Aphids,Bacillus thuringiensis,Spray,3.0 g/L
Maize,Armyworm,Azadirachtin (Neem Oil),Soil Drench,1.0 ml/L
Maize,Armyworm,Thiamethoxam,Soil Drench,1.0 ml/L
Maize,Whitefly,Pyrethrin,Soil Drench,2.0 ml/L
Maize,Aphids,Bacillus thuringiensis,Spray,3.0 g/L
Maize,Barley Yellow Dwarf Virus,Pyrethrin,Spray,3.0 g/L
Maize,Barley Yellow Dwarf Virus,Spinosad,Spray,1.0 ml/L
Maize,Whitefly,Spinosad,Spray,2.0 ml/L
Maize,Potato Beetle,Thiamethoxam,Spray,1.5 ml/L
Maize,Whitefly,Spinosad,Spray,2.0 ml/L
Maize,Soybean Looper,Imidacloprid,Soil Application,0.8 ml/L
Maize,Peanut Bud Necrosis Virus,Imidacloprid,Soil Drench,3.0 g/L
Maize,Bollworm,Azadirachtin (Neem Oil),Soil Drench,0.8 ml/L
Maize,Aphids,Cartap Hydrochloride,Spray,0.3 ml/L
Maize,Potato Beetle,Imidacloprid,Soil Application,1.5 ml/L
Maize,Bollworm,Pyrethrin,Soil Drench,2.0 ml/L
Maize,Armyworm,Imidacloprid,Spray,2.0 ml/L
Maize,Armyworm,Azadirachtin (Neem Oil),Soil Drench,2.0 ml/L
Maize,Sugarcane Borer,Cartap Hydrochloride,Soil Application,3.0 g/L
Maize,Whitefly,Chlorpyrifos,Soil Application,1.5 ml/L
Maize,Barley Yellow Dwarf Virus,Spinosad,Soil Drench,1.0 ml/L
Maize,Soybean Looper,Thiamethoxam,Soil Application,1.0 g/L
Maize,Whitefly,Cartap Hydrochloride,Soil Application,2.0 ml/L
Maize,Armyworm,Thiamethoxam,Spray,2.5 ml/L
Maize,Stem Borer,Chlorpyrifos,Spray,3.0 g/L
Maize,Armyworm,Azadirachtin (Neem Oil),Soil Drench,1.0 ml/L
Maize,Armyworm,Azadirachtin (Neem Oil),Soil Drench,1.0 ml/L
Maize,Whitefly,Cartap Hydrochloride,Soil Application,2.0 ml/L
Maize,Armyworm,Thiamethoxam,Soil Drench,1.0 ml/L
Maize,Bollworm,Azadirachtin (Neem Oil),Soil Drench,0.8 ml/L
